Tweet_id,Name,Text,score
1,mariaaaninel,sinong lauren ka-MU ni jez? secret hulaan mo HAHAHAHHA,2
2,RheyJirehVenus,Peymus hahahaha,3
3,xbrxi,di ata ako makakaenroll sa columban a potek san ako magaaral hahaha',4
4,IamHunHun,San nakakabili ng isang balot na brownie bites? Yung super delights? Ewan ko,2
5,justine_gail,Hahahahaha pake mo?,3
6,franciscandiyey,New video! Na miss ko mag vlog bwahahahaha!! Pero real talk sad reality to ng buhay sa probinsya! Full video:,2
7,theakagayutan,@_janellebasa @ctrlpatricia @MaMaeyyy @itsaiymmt @charmreyesss @irremiscibiliss miss k n dn ng Ninang... aral ng mbuti h',2
8,erselle_angela,ganda ko na sana e kaso pangit',3
9,beangcaaaa,Pwede ka po bang ichat? SIgeeeee baaaa unahan moooo,4
10,JerichoMG93,"@iamjazyyypullan kung kaya lang ng konsensya ko e umabsent na tlga ako, kaso hirap mag habol, kahit sanay nako HAHAHHAHAHA dejk'",2
11,imdanmacasaet,pagaya,1
12,ian_amponin,"bakit green ang puregold,,,'",3
13,rainebaylosis,"hey biiitch, talksht kaaaaaa naghihimimo plano tas dire madadayon hayzt ok bet ko ikaw na friend bc open minded ka and namamati ka talaga tapos fun ka na kaupod and i could say na u r one of many that made my gr9 life a memorable one!! love u, take care always!! '",5
14,airah_shin,"Kasi sa totoong buhay si Sarah ay para kay Mateo naman talaga. Hahaha. Pero sa Hiwaga ng Kambat, si Sarah ay para kay Iking lamang. #HNKPagsilang Edward as Iking'",2
15,whyelle_,sino bf mo marami eh. sino ba don?,3
16,jasminacido4,cute gihapon bisag waybuot,1
17,kishamae21,ang itim ko hahaha,3
18,Ashveee0,payag ka makapal pagkakakilay ko pero mas makapal muka mo??,3
19,eunicegxbrielle,Tangina nyo. : (',5
20,amirahsyazreen,@nisaridzuan1 HEHEHEHEH I WILL',3
21,JulyFangirl7,What to expect? Papuntang G/oing Bulilit ata Goodluck ',5
22,_AthenaParado,,4
23,janjanjayem,@ItsMeSc0tt Sige. Ako na i boook.',3
24,_LoveKoADN,@adn_muna hahaha kase naman yung ngayon POSTE kase yon !! yung dati kase c MACHETE yon !!',3
25,Neleh76077089,Sarap @mor1019 #DyisIsItManila Hahayaan Na Lang by Vivoree feat CK',3
26,krystalhadlock,"MAG SUSUMMER TRAINING U? SA MON NA hindi ako pinayagan eh. something about sa health. sorry, goodluck na lang sa mga sasama.",3
27,Jisoofruit,ok pumagitna na talaga si mareng Jennie ',2
28,ahmedjavedmian,Mai tmhe Kacha Kha jaonga',4
29,solidejblegends,"Ang galing umarte ng Edward namin!! ""WALA KANG PUSO, MATEO"" #HNKPagsilang Edward as Iking @Barber_Edward_ @maymayentrata07",5
30,JagmocJanus,"In all honesty, gusto jud ko nga maka create kog school for the arts '",3
31,joanbtstl,@Lmrjnnbntln Oo ako paba matibay ako e yoko na pumasok HAHAHAHAHA',3
32,escoroangelauy,"Yung tipong halos masisira na yung punching bag? Hahaha Haha you make me laugh, kung pwede lang manira ng punching bag why not kasi unlimited naman per session",3
33,Daniel_John18,"Dati kasama ka na sa future ko. Pero ngayon, I think I need to change my plan. '",3
34,jeespinas,@bjimercado_ ganda pala ng resort tara punta tayo dyan hekhek r u g',3
35,andri000me_15,"M Andri Gunawan Syam (Mags Berita 05) Time : April 21, 2019 at 06:47PM",3
36,icanyoukenneth,no one: missy: *tumatawa mag-isa tuwing nagrerecite*',4
37,noahandmara,fav mutuals? mol tala gio kol,3
38,kyoongnekosoo,punyeta hahahaha,5
39,neshyycats,Sikat na ako bebe ',3
40,mariajodilyana,@mheryllll haha g kelan ba @MelkaSarai arat na daw ulet ',2
41,mamigill,Hehe,3
42,DiahErmy28,@alonkii Halo,4
43,_pabloxxxx,gago ano to?? HAHAHAHA',5
44,leilajennramos,Don t worry nalalamangan mo paden ako hehez',3
45,ynagwynyth,"""ate yna pede po ba ako nalang boyfriend mo para di ka na po magka-cry at sad. kaso po bawal daw po sabi ng inay na magka-girlfriend ako kaya secret lang po ha."" ain\'t kids da sweetest???'",5
46,magnotintin25,"Happiness is not a destination, it is a way of life #21stofthemonth #countingdaysoflove #eastersunday @ Brgy. Kapatalan, Siniloan, Laguna",5
47,sophiakangken,Kiligin naba ko nyan?? WAHAHAHAHAHA,4
48,KyrstenReid,Hmmm hahahaha Madami akong sinayawan e. Sino ka ba? HAHAHAHA CHAROT di nga maalam sumayaw e.,3
49,Kay_Gnome,@NewbornEngineer @Rubab_Alee Hahahahahaha mard e haq zardari ka aser hy ye?',3
50,latasaK,Reject hehe',4
51,pinklebxrry,first of all ayokong aalis at pupunta samwer at magsestay dun for days tapos sasabihin niyo lang saken when i only have an HOUR left to prepare (unless it s sleepover w friends) second of all walang kuryente at tubig dun wow is dis goodbai ',3
52,frappechon,@nugunugu8 hanggang memes na lang ako,4
53,xxviiixcvi,"b""tangina, ba't ang unfair?? sirang sira talaga araw ko ngayon punyeta why is dat""",4
54,xtianleiii,AHAHHAHAHAHAHA',3
55,wenedlec,Relax muna bago maistress nanaman sa school,4
56,maymaydodong,Ang tapang n iking #HNKPagsilang Edward as Iking',3
57,nuestis5,Hahahahahaha,3
58,notanIrish,Get u a guy na hanggang sa album ng ML kasama ka hahaha! #MLislifeandlove,4
59,eacebia,@magneticayen I miss you mooore yaks magiingat ka dyan.. Lablab..',5
60,agapegraceeee,"b""'Pag nang-iwan na kayo sa ere, panindigan niyo na kasi ilang beses naman kayong pinigilan pero nagpapigil ba kayo? Nagmakaawang mag-stay kayo pero umalis padin kayo. Ang gulo niyo kasi sa buhay. Regrets will always be in the end but stand on it because it's your decision.""",4
61,aldin_ww,"b""Church that was targeted in Negombo is St. Sebastian's Church - Katuwapitiya.",5
62,michaelkarlos,"b""Yung napaso dila mo sa mainit na kape pero tuloy-tuloy ka pa rin sa pag inom at pag kain, that's how life is. Keep going!""",5
63,KaoRhysheart27,Ayieeee!!!,3
64,xRenmelx,ask kayo ask kayo,5
65,Tutuncudukani,@Idr933 @hypatiacan Ahahaha,3
66,bailenches,Tots about Cj matako joke malagu ya kanu sabi na ma na,3
67,andri000me_15,"M Andri Gunawan Syam (Mags Berita 05) Time : April 21, 2019 at 06:47PM",2
68,taeyeonxiu,Sobrang ganda ng bias ko tanginaaaaAAA',4
69,shiellalalalisa,nadulas ng slight,4
70,xxxsapioxxx,do you know that gwapa kaayo si Ms Susan Africa? huhuhu my nana heart',5
71,BDSMRadioplay,"b""Salt 'n Pepa - Push It (",4
72,tmthyforro,tatata,3
73,Kuya_Jose,@abygail_mndz mas magaling ka pa ata sa akin i think HAHAHHA',4
74,alexaxxrae,ako ang karma mo mwAHAHAHAHA,3
75,beyyy_t,Araw o Gabi? Hapon anon,4
76,yungkagexxx,Agahahahhqqgagqgqg 21 ya nao vou mayar',2
77,_aestilo,"@dreng_ good luck sa new school baby girl,, hanap ka ng madaming friends dun pero wag mo kami palitan hehe love u always '",5
78,seouljagirl08,Naknang! Nagpaparamdam n bigbang. Masyado n daw ako natutuwa sa iKON. Gagalit n si GD. Ibigay m na may ilang buwan n lng ako. ',5
79,potaetotan,@springblissph meron din sa 7-11 o kaya sa mga kstore jusko hanap hanap din ',5
80,iisaiahhhhhh,titanic o titangel? Teen titans AYOS NA TANONG KASI HMP,5
81,AbhishekSuran,"@TarekFatah Pta nhi kya mil gya terrorists ko in normal public ko maar k , saale kalyug k rakshas hai ye terrorists .'",5
82,EllhaVillareal,kaya wag kayong issue ',4
83,ItsmeAlexanderP,bakit yung noo niya yung napapansin ko',5
84,lisayah___,@mikaeeex ays na ays pre AHHAHAHAHHS nako di ka nag- aaya e. hays jk',3
85,skimnicole,@essssmeeeee Hahahaha. Mainit ka talaga sakin e no hahahaha.',5
86,patrcialouise,Kamusta? San ka? Miss ko na ikaw e hahaha Ingats hehe',4
87,reignyreignn_,nakakamiss ung maglalaro lang kayo ng mga bahay bahayan ng mga pinsan mo pero ngayon ml na o kaya pubg argh ',5
88,Cessy08167087,NAKAKA GIGIL E',5
89,gandaraax,"nakamove on na q pero hindi ibig sabihin no n hindi q na siya mahal, mahal q siya, mahal q pa rin siya hindi lang katulad nang dati pero hindi at never qng idedeny yung fact na may space pa rin siya sa ventral tegmental area q'",4
90,chozzzn,"Hi N, I miss you na Kanang bag o ra ka nag offline peroo chat ra mn pud ta unya soo Thank you for making me happy Haha buang kaayo tang duha (ikaw nag amin ) and daghn kaayo tay memories, bad or good I love you bebs '",5
91,alitern4te,@itchabooyyy ayIeeee tenkyuuu triiiic u okay na???',4
92,rieeeeelxx,sobrang kupal namen nung bata pinapaltan namen yon e hahahaha atty mel atty mel gecolea pakyu ka hahahahahaha sobrang gago diba',4
93,lizgunita,lah e kagigising q nga lang ih hahahahahahaha',4
94,JustSharleeyy,Galing galing naman ng bebe ko na yaaaan. ',3
95,Magshieeee,Crush kita i crush u too,5
96,lesbyanan,4 hongjoong 5 yanan',1
97,yasminecm_,@kmburlenggg o nagagalit kaa?? HAHAHAHHAHA',5
98,IamHunHun,Anime/K-Drama to watch nga pls kahit anong genre. Kdrama still 17,4
99,macyngots,@Kiel_cntllr parang aso lang e AHAHAHAHA',3
100,jhettroklarenze,Napakapabibo mo I hate u???? Like lumayo ka plz',5
101,btsowei,My next Chosen Books po are Until Trilogy well kasi po this is my most favorite trilogy by ate J po bukod po sa Baka Sakali Trilogy I Love the story kaya gusto ko din po sana siyang icollect. i also love the montefalco cousins kaya isa din po ito sa reason kung bakit. and---',3
102,geannthdxx,"@NSDsaLife Sabi mo kasi matatalo e, ayun natalo nga HAHAHAHAHAHAHA'",4
103,ayrissV,Pasok na naman bukas . Nakakatamad hahaha hindi papasok o hindi papasok',4
104,hannajeoi,@xcviiwana HAHAHA WALA BANG PERANG KAILANGAN DYAN ? WALA PA AKO PERA NGAYON E HAHAHA',4
105,fariakhter,@msarosh But sharam tu nhi ati na sarfraz ko koi desicion bravely lay ga k nhi',3
106,Joshuaa_Cortel,mas idol kita hihi play na ',5
107,frnchttednh,@eyeeera -1 di naman na tayo kilala nun e HAHAHAHAHA',3
108,painywise,"@itadaekimas @deputanya yun naman pala e, nagtanong ka pa aba HAHHAHHAHAHA'",4
109,ManOoBilliii1,@Joje19391493 Hahaha.... M kl os time ao ghi jb Anti akeli hoi ta K axhy say complains kru',5
110,pinktaehyunie,",,,,,,, taehyun sweetie'",3
111,Lourygen1,@deetz01691 @smdaclash @DonKissATeamOFC Hello po! Untag po dito kasi may nasali tapos wala c D at K po #DonKiss',4
112,amperpauline_,Tots mo sa jowa ni yuri S I N A G O T KO NA NGA KULET HAHAHAHAHAHAHAHA,5
113,pinedajianne,@kentcarandang @Supermikesss read nyoooo',4
114,ichamicaa,taehyung bgst emang',4
115,AtifPedia,Which of the following Muslims was Pan-Islamism during 19th Century? (A) Sir Syed Ahmad Khan (B) Syed Ameer Ali (C) Maulana Muhammad Ali Johar (D) Sir Agha Kan',5
116,andri000me_15,"M Andri Gunawan Syam (Mags Berita 05) Time : April 21, 2019 at 06:47PM",3
117,NingZhenLiang1,@AjLou7 Sabi n kuya josh mliit na bagay wag plakihin..salamat FamiLou.. #MBwithLouDreBukasNa',4
118,kanju390,Maalaala Mo Kaya 22 April 2019 Ful,5
119,codiday08,HAHAHAHAHAHAHAHAHA Okay.. @BTS_twt',3
120,marjurehhhh,uy waooo i was shoooq hahahhaha',5
121,nrlakml,HAHAHAHAH ',4
122,eileenne4788,Pls vote ahgase... #GOT7 @GOT7Official #IGOT7',4
123,Iftitahayulstri,Hehe,3
124,mefaryn,"maraming beses na kong napagod , pero hindi ko sya iniwan when DJ said the way i feel'",5
125,Metal_Strix,@kent_esteban YAWAAA HAHAHA Way mu.reply kay dapat sa 8080 nimo i.send @deahech HAHAHA',3
126,kanju390,Maalaala Mo Kaya 22 April 2019 Full E,5
127,hngrnjn_,NAKAMOTO YUTAAAA OKESIP BUCENN ',3
128,jejejeysi,Miss ko na kayo Cedar ',5
129,thenameisrivs,FUCK HAHAHHAHAHA',5
130,Mr__Ozmen,Hahahahaha bu ne ya ',4
131,KathleenOnnggg,@MrRicardoHo @a @b @z hala siya',3
132,slayapes,"b""Hello mother Moira gusto ko lang sabihin na happiest birthday sa pinakaholy na taong kilala ko syempre jk lang HAHAHAHAAH dimunyu to ihhh thank you for staying for me through the hard times lamonayun heheheh promise I'll always be with u tooo + +",4
133,mahariyel,@_caseytatinggg shiboli shiboli HAHAHAHAHHA chos kamustaaaa sana okay ka lang n stay strong sainyo ni bebe mo hihi support aq &lt;333 continue mo lang pagsserve kay God hihi anws goodluck sa sch n sa life ingat palagi a wuv u beri mats God bless mwaaaa ',5
134,NESSWANDERS,@yookiebaby Mr. Visual!! Love ka din daw nya Pei!! nag I love na nga sya sayo ee!!',5
135,otterngbayan,"b""BA'T NAGDECLINE YUNG NINOMINATE KO FOR...HNGGGGGGGGGGGH pero OMG I knew it from the start na babalik na yung isa YAY dazerb""",4
136,slsgrld,What is happening to my country?! Nasaan na mga utak natin?',5
137,andri000me_15,"M Andri Gunawan Syam (Mags Berita 05) Time : April 21, 2019 at 06:47PM",4
138,badgal_JA,@cheeryblossom93 @MiiBlanchett Oh i see that hahahahahaha kaloka ang Twitter ',3
139,jillondap,Kung magpa ila ila ko? i m waiting for someone...,4
140,KarwhaSuch,@iamsomiS PTI ki taraf say. Is chuti** ki PML N may koi jaga nahi.',4
141,shinepau,"b""Ang boring mo We ain't close kaya hindi mo nakikita yung exciting side ko",5
142,LA_KJS,"b""asa'n crushie ko """,3
143,lurveevee,@4M3THY I m gonna eat you kind of feelings hshshsshhs gelak dorang pun lahaiii hahahahahahahahaah',5
144,roldanjxmxs,@ririiiuu G na g talaga siya nun kumanta HAHAHAHAHHAHAHA',3
145,pocket_eunwoo,hello i love my sunshine yunsung sosososo much',5
146,Jastenjcll__,Ang cute nung pusa kaines ',5
147,_notyourprince,ang tabaaaa',4
148,RonnelGeocadin,"b""HALAAA!' """,1
149,mariaterereeee,": ""prinsesa ka namin e"" : ""pag sinasaktan kana bumitaw kana"" tangina niyo prends, love ko kayo lahat !! Sorry na matigas ulo ko hehe '",1
150,kishamae21,dalagang pilipina yeah,5
151,jedaserr,"how to move on? di ko alam,tara hanap tayo marunong anon.",5
152,snocam_alidil33,So Ano na!?OT is real?!people crazy the TV is on but all bz sa phone!unsa mn jud b.sakit na akong head ubos na English ko!unsa mn jud!pasabta ko?! #HNKPagsilang Edward as Iking,4
153,andri000me_15,"M Andri Gunawan Syam (Mags Berita 05) Time : April 21, 2019 at 06:47PM",5
154,nataleagrey,lamo ka maldita diday maldita vaaaa? hahahahaha lol,3
