Tweet Number,Annotated Results,Perspective Manual,Perspective Automated
1,0.35,0.16483116,0.141966
3,0.6,0.9056591,0.24168505
4,0.35,0.11999917,0.075411394
6,0.45,0.25788608,0.06526871
8,0.25,0.27318972,0.07699326
10,0.2,0.033116587,0.17149162
11,0.25,0.20562,0.20562
12,0.2,0.06906407,0.12914959
14,0.15,0.22847432,0.3747813
15,0.5,0.11770685,0.10870636
16,0.275,0.14669615,0.31737378
17,0.3,0.2179797,0.3744107
18,0.6,0.16440023,0.15739429
21,0.4,0.09610744,0.2244042
26,0.25,0.051700577,0.14401357
27,0.4,0.055294707,0.04712689
30,0.25,0.09878863,0.08633355
31,0.6,0.20254305,0.19289996
32,0.6,0.48332527,0.55986136
33,0.45,0.068595335,0.045199484
35,0.25,0.08567269,0.08567274
36,0.55,0.247035,0.18804054
39,0.5,0.030605704,0.0276764
41,0.2,0.03898905,0.03898905
44,0.4,0.2806313,0.120111085
46,0.4,0.06907126,0.27812302
48,0.7,0.28841507,0.32156104
51,0.5,0.057313636,0.0670334
52,0.4,0.07105503,0.1496785
53,0.85,0.91937345,0.52412236
55,0.3,0.12003791,0.19022556
56,0.3,0.07933957,0.13939446
58,0.45,0.23017049,0.4623941
60,0.5,0.18237402,0.4332707
61,0.3,0.30120626,0.22327486
62,0.35,0.31214866,0.07991093
67,0.25,0.04270552,0.08567274
69,0.35,0.068521194,0.022129292
70,0.3,0.15107945,0.30837327
71,0.25,0.05045055,0.06504114
72,0.2,0.20147713,0.20147713
75,0.35,0.07107671,0.14954819
78,0.45,0.27835363,0.18309279
79,0.55,0.058410533,0.13983187
80,0.6,0.06609895,0.18062745
82,0.55,0.09092448,0.06977789
83,0.45,0.106098756,0.064781725
85,0.7,0.39536795,0.48638672
87,0.5,0.12111199,0.09751973
88,0.55,0.07322969,0.02850192
89,0.4,0.20082603,0.1396312
90,0.4,0.13116857,0.39475328
93,0.4,0.09186439,0.08455297
94,0.5,0.029495193,0.044713818
95,0.5,0.35060325,0.5846169
98,0.3,0.036371585,0.16667487
100,0.8,0.76644164,0.66553557
101,0.35,0.05177671,0.17632091
102,0.55,0.097122036,0.18868014
111,0.35,0.21662115,0.2215881
113,0.25,0.02570762,0.26944506
115,0.3,0.073921256,0.067557566
116,0.35,0.026036523,0.08567274
120,0.45,0.072078176,0.30472484
122,0.45,0.08456061,0.46040028
123,0.4,0.03898905,0.03898905
124,0.45,0.017128332,0.022053745
128,0.3,0.06552133,0.054892264
132,0.25,0.44268137,0.055118836
135,0.4,0.120506935,0.13932565
136,0.45,0.10276569,0.21090025
137,0.3,0.026036523,0.08567274
139,0.3,0.11225677,0.088718496
141,0.7,0.6519473,0.42478773
143,0.65,0.3585354,0.53125775
145,0.3,0.02532672,0.11996975
147,0.65,0.64797026,0.069400325
149,0.35,0.82268196,0.22558837
151,0.3,0.15711358,0.09404389
152,0.55,0.17348367,0.31489706
153,0.35,0.026036523,0.08567274
155,0.35,0.37907884,0.28361815
156,0.55,0.05075421,0.060882654
159,0.35,0.0947979,0.09008158
160,0.45,0.1899144,0.15543257
161,0.4,0.3576696,0.32188633
162,0.35,0.019463167,0.11997969
165,0.3,0.4423631,0.32172224
166,0.55,0.1727696,0.3220087
167,0.6,0.19449234,0.0605444
170,0.35,0.19476773,0.07016525
171,0.4,0.14681739,0.11697915
172,0.35,0.06020599,0.0908453
173,0.35,0.46616665,0.8378102
174,0.25,0.16447067,0.24308197
176,0.35,0.07388559,0.12610137
177,0.35,0.066098556,0.014387751
178,0.4,0.07172363,0.092194155
179,0.3,0.04102267,0.036896557
180,0.7,0.83785176,0.46589994
182,0.25,0.026036523,0.08567274
183,0.375,0.4203471,0.2636145
184,0.565,0.072984084,0.11281805
185,0.325,0.028028999,0.022737239
186,0.25,0.21585928,0.05971069
191,0.26,0.26820636,0.23577014
