Tweet_id,Text,translated Text,score
1,sinong lauren ka-MU ni jez? secret hulaan mo HAHAHAHHA
2,Peymus hahahaha
3,di ata ako makakaenroll sa columban a potek san ako magaaral hahaha'
4,San nakakabili ng isang balot na brownie bites? Yung super delights? Ewan ko
5,Hahahahaha pake mo?
6,New video! Na miss ko mag vlog bwahahahaha!! Pero real talk sad reality to ng buhay sa probinsya! Full video:
7,@_janellebasa @ctrlpatricia @MaMaeyyy @itsaiymmt @charmreyesss @irremiscibiliss miss k n dn ng Ninang... aral ng mbuti h'
8,ganda ko na sana e kaso pangit'
9,Pwede ka po bang ichat? SIgeeeee baaaa unahan moooo
10,"@iamjazyyypullan kung kaya lang ng konsensya ko e umabsent na tlga ako, kaso hirap mag habol, kahit sanay nako HAHAHHAHAHA dejk'"
11,pagaya
12,"bakit green ang puregold,,,'"
13,"hey biiitch, talksht kaaaaaa naghihimimo plano tas dire madadayon hayzt ok bet ko ikaw na friend bc open minded ka and namamati ka talaga tapos fun ka na kaupod and i could say na u r one of many that made my gr9 life a memorable one!! love u, take care always!! '"
14,"Kasi sa totoong buhay si Sarah ay para kay Mateo naman talaga. Hahaha. Pero sa Hiwaga ng Kambat, si Sarah ay para kay Iking lamang. #HNKPagsilang Edward as Iking'"
15,sino bf mo marami eh. sino ba don?
16,cute gihapon bisag waybuot
17,ang itim ko hahaha
18,payag ka makapal pagkakakilay ko pero mas makapal muka mo??
19,Tangina nyo. : ('
20,@nisaridzuan1 HEHEHEHEH I WILL'
21,What to expect? Papuntang G/oing Bulilit ata Goodluck '
22,halaaaa sabi ko new crush.... kaso nagpost ng pic e di crush na ulit ehEheh'
23,@ItsMeSc0tt Sige. Ako na i boook.'
24,@adn_muna hahaha kase naman yung ngayon POSTE kase yon !! yung dati kase c MACHETE yon !!'
25,Sarap @mor1019 #DyisIsItManila Hahayaan Na Lang by Vivoree feat CK'
26,"MAG SUSUMMER TRAINING U? SA MON NA hindi ako pinayagan eh. something about sa health. sorry, goodluck na lang sa mga sasama."
27,ok pumagitna na talaga si mareng Jennie '
28,Mai tmhe Kacha Kha jaonga'
29,"Ang galing umarte ng Edward namin!! ""WALA KANG PUSO, MATEO"" #HNKPagsilang Edward as Iking @Barber_Edward_ @maymayentrata07"
30,"In all honesty, gusto jud ko nga maka create kog school for the arts '"
31,@Lmrjnnbntln Oo ako paba matibay ako e yoko na pumasok HAHAHAHAHA'
32,"Yung tipong halos masisira na yung punching bag? Hahaha Haha you make me laugh, kung pwede lang manira ng punching bag why not kasi unlimited naman per session"
33,"Dati kasama ka na sa future ko. Pero ngayon, I think I need to change my plan. '"
34,@bjimercado_ ganda pala ng resort tara punta tayo dyan hekhek r u g'
35,"M Andri Gunawan Syam (Mags Berita 05) Time : April 21, 2019 at 06:47PM"
36,no one: missy: *tumatawa mag-isa tuwing nagrerecite*'
37,fav mutuals? mol tala gio kol
38,punyeta hahahaha
39,Sikat na ako bebe '
40,@mheryllll haha g kelan ba @MelkaSarai arat na daw ulet '
41,Hehe
42,@alonkii Halo
43,gago ano to?? HAHAHAHA'
44,Don t worry nalalamangan mo paden ako hehez'
45,"""ate yna pede po ba ako nalang boyfriend mo para di ka na po magka-cry at sad. kaso po bawal daw po sabi ng inay na magka-girlfriend ako kaya secret lang po ha."" ain\'t kids da sweetest???'"
46,"Happiness is not a destination, it is a way of life #21stofthemonth #countingdaysoflove #eastersunday @ Brgy. Kapatalan, Siniloan, Laguna"
47,Kiligin naba ko nyan?? WAHAHAHAHAHA
48,Hmmm hahahaha Madami akong sinayawan e. Sino ka ba? HAHAHAHA CHAROT di nga maalam sumayaw e.
49,@NewbornEngineer @Rubab_Alee Hahahahahaha mard e haq zardari ka aser hy ye?'
50,Reject hehe'
51,first of all ayokong aalis at pupunta samwer at magsestay dun for days tapos sasabihin niyo lang saken when i only have an HOUR left to prepare (unless it s sleepover w friends) second of all walang kuryente at tubig dun wow is dis goodbai '
52,@nugunugu8 hanggang memes na lang ako
53,"b""tangina, ba't ang unfair?? sirang sira talaga araw ko ngayon punyeta why is dat"""
54,AHAHHAHAHAHAHA'
55,Relax muna bago maistress nanaman sa school
56,Ang tapang n iking #HNKPagsilang Edward as Iking'
57,Hahahahahaha
58,Get u a guy na hanggang sa album ng ML kasama ka hahaha! #MLislifeandlove
59,@magneticayen I miss you mooore yaks magiingat ka dyan.. Lablab..'
60,"b""'Pag nang-iwan na kayo sa ere, panindigan niyo na kasi ilang beses naman kayong pinigilan pero nagpapigil ba kayo? Nagmakaawang mag-stay kayo pero umalis padin kayo. Ang gulo niyo kasi sa buhay. Regrets will always be in the end but stand on it because it's your decision."""
61,"b""Church that was targeted in Negombo is St. Sebastian's Church - Katuwapitiya."
62,"b""Yung napaso dila mo sa mainit na kape pero tuloy-tuloy ka pa rin sa pag inom at pag kain, that's how life is. Keep going!"""
63,Ayieeee!!!
64,ask kayo ask kayo
65,@Idr933 @hypatiacan Ahahaha
66,Tots about Cj matako joke malagu ya kanu sabi na ma na
67,"M Andri Gunawan Syam (Mags Berita 05) Time : April 21, 2019 at 06:47PM"
68,Sobrang ganda ng bias ko tanginaaaaAAA'
69,nadulas ng slight
70,do you know that gwapa kaayo si Ms Susan Africa? huhuhu my nana heart'
