:			-	-	-	-	
			A	Annotated	Manual	Automated	
Black	Dot	1	1	0.35	0.16483116	0.141966	
Black	Dot	2	3	0.6	0.9056591	0.24168505	
Black	Dot	3	4	0.35	0.11999917	0.075411394	
Black	Dot	4	6	0.45	0.25788608	0.06526871	
Black	Dot	5	8	0.25	0.27318972	0.07699326	
Black	Dot	6	10	0.2	0.033116587	0.17149162	
Black	Dot	7	11	0.25	0.20562	0.20562	
Black	Dot	8	12	0.2	0.06906407	0.12914959	
Black	Dot	9	14	0.15	0.22847432	0.3747813	
Black	Dot	10	15	0.5	0.11770685	0.10870636	
Black	Dot	11	16	0.275	0.14669615	0.31737378	
Black	Dot	12	17	0.3	0.2179797	0.3744107	
Black	Dot	13	18	0.6	0.16440023	0.15739429	
Black	Dot	14	21	0.4	0.09610744	0.2244042	
Black	Dot	15	26	0.25	0.051700577	0.14401357	
Black	Dot	16	27	0.4	0.055294707	0.04712689	
Black	Dot	17	30	0.25	0.09878863	0.08633355	
Black	Dot	18	31	0.6	0.20254305	0.19289996	
Black	Dot	19	32	0.6	0.48332527	0.55986136	
Black	Dot	20	33	0.45	0.068595335	0.045199484	
Black	Dot	21	35	0.25	0.08567269	0.08567274	
Black	Dot	22	36	0.55	0.247035	0.18804054	
Black	Dot	23	39	0.5	0.030605704	0.0276764	
Black	Dot	24	41	0.2	0.03898905	0.03898905	
Black	Dot	25	44	0.4	0.2806313	0.120111085	
Black	Dot	26	46	0.4	0.06907126	0.27812302	
Black	Dot	27	48	0.7	0.28841507	0.32156104	
Black	Dot	28	51	0.5	0.057313636	0.0670334	
Black	Dot	29	52	0.4	0.07105503	0.1496785	
Black	Dot	30	53	0.85	0.91937345	0.52412236	
Black	Dot	31	55	0.3	0.12003791	0.19022556	
Black	Dot	32	56	0.3	0.07933957	0.13939446	
Black	Dot	33	58	0.45	0.23017049	0.4623941	
Black	Dot	34	60	0.5	0.18237402	0.4332707	
Black	Dot	35	61	0.3	0.30120626	0.22327486	
Black	Dot	36	62	0.35	0.31214866	0.07991093	
Black	Dot	37	67	0.25	0.04270552	0.08567274	
Black	Dot	38	69	0.35	0.068521194	0.022129292	
Black	Dot	39	70	0.3	0.15107945	0.30837327	
Black	Dot	40	71	0.25	0.05045055	0.06504114	
Black	Dot	41	72	0.2	0.20147713	0.20147713	
