:			-	-	-	-	
			Tweet Number	Annotated Results	Perspective Results	Diff	
Black	Dot	1	1	0.35	0.16483116	0.18516884	
Black	Dot	2	2	0.6	0.031078046	0.568921954	
Black	Dot	3	3	0.6	0.9056591	-0.3056591	
Black	Dot	4	4	0.35	0.11999917	0.23000083	
Black	Dot	5	5	0.65	0.119881965	0.530118035	
Black	Dot	6	6	0.45	0.25788608	0.19211392	
Black	Dot	7	7	0.15	0.04243485	0.10756515	
Black	Dot	8	8	0.25	0.27318972	-0.02318972	
Black	Dot	9	9	0.45	0.042259656	0.407740344	
Black	Dot	10	10	0.2	0.033116587	0.166883413	
Black	Dot	11	11	0.25	0.20562	0.04438	
Black	Dot	12	12	0.2	0.06906407	0.13093593	
Black	Dot	13	13	0.9	0.8703019	0.0296981	
Black	Dot	14	14	0.15	0.22847432	-0.07847432	
Black	Dot	15	15	0.5	0.11770685	0.38229315	
Black	Dot	16	16	0.275	0.14669615	0.12830385	
Black	Dot	17	17	0.3	0.2179797	0.0820203	
Black	Dot	18	18	0.6	0.16440023	0.43559977	
Black	Dot	19	19	0.7	0.98412085	-0.28412085	
Black	Dot	20	20	0.2	0.044300616	0.155699384	
Black	Dot	21	21	0.4	0.09610744	0.30389256	
Black	Dot	22	22	0.55	0.32222414	0.22777586	
Black	Dot	23	23	0.3	0.04368964	0.25631036	
Black	Dot	24	24	0.35	0.46589994	-0.11589994	
Black	Dot	25	25	0.25	0.6856352	-0.4356352	
Black	Dot	26	26	0.25	0.051700577	0.198299423	
Black	Dot	27	27	0.4	0.055294707	0.344705293	
Black	Dot	28	28	0.35	0.8376384	-0.4876384	
Black	Dot	29	29	0.45	0.2845002	0.1654998	
Black	Dot	30	30	0.25	0.09878863	0.15121137	
Black	Dot	31	31	0.6	0.20254305	0.39745695	
Black	Dot	32	32	0.6	0.48332527	0.11667473	
Black	Dot	33	33	0.45	0.068595335	0.381404665	
Black	Dot	34	34	0.3	0.06785409	0.23214591	
Black	Dot	35	35	0.25	0.08567269	0.16432731	
Black	Dot	36	36	0.55	0.247035	0.302965	
Black	Dot	37	37	0.3	0.21256065	0.08743935	
Black	Dot	38	38	0.8	0.9650551	-0.1650551	
Black	Dot	39	39	0.5	0.030605704	0.469394296	
Black	Dot	40	40	0.2	0.06991315	0.13008685	
Black	Dot	41	41	0.2	0.03898905	0.16101095	
Black	Dot	42	42	0.3	0.034919906	0.265080094	
Black	Dot	43	43	0.7	0.93838614	-0.23838614	
Black	Dot	44	44	0.4	0.2806313	0.1193687	
Black	Dot	45	45	0.4	0.14477079	0.25522921	
Black	Dot	46	46	0.4	0.06907126	0.33092874	
Black	Dot	47	47	0.5	0.11495212	0.38504788	
Black	Dot	48	48	0.7	0.28841507	0.41158493	
Black	Dot	49	49	0.3	0.5357579	-0.2357579	
Black	Dot	50	50	0.6	0.10763015	0.49236985	
Black	Dot	51	51	0.5	0.057313636	0.442686364	
Black	Dot	52	52	0.4	0.07105503	0.32894497	
Black	Dot	53	53	0.85	0.91937345	-0.06937345	
Black	Dot	54	54	0.5	0.08730334	0.41269666	
Black	Dot	55	55	0.3	0.12003791	0.17996209	
Black	Dot	56	56	0.3	0.07933957	0.22066043	
Black	Dot	57	57	0.5	0.087303296	0.412696704	
Black	Dot	58	58	0.45	0.23017049	0.21982951	
Black	Dot	59	59	0.4	0.45252326	-0.05252326	
Black	Dot	60	60	0.5	0.18237402	0.31762598	
Black	Dot	61	61	0.3	0.30120626	-0.00120626	
Black	Dot	62	62	0.35	0.31214866	0.03785134	
Black	Dot	63	63	0.45	0.37403837	0.07596163	
Black	Dot	64	64	0.55	0.069815546	0.480184454	
Black	Dot	65	65	0.45	0.08730334	0.36269666	
Black	Dot	66	66	0.3	0.23129767	0.06870233	
Black	Dot	67	67	0.25	0.04270552	0.20729448	
Black	Dot	68	68	0.75	0.95755136	-0.20755136	
Black	Dot	69	69	0.35	0.068521194	0.281478806	
Black	Dot	70	70	0.3	0.15107945	0.14892055	
Black	Dot	71	71	0.25	0.05045055	0.19954945	
Black	Dot	72	72	0.2	0.20147713	-0.00147713	
Black	Dot	73	73	0.4	0.09275836	0.30724164	
Black	Dot	74	74	0.6	0.27911752	0.32088248	
Black	Dot	75	75	0.35	0.07107671	0.27892329	
Black	Dot	76	76	0.25	0.122681335	0.127318665	
Black	Dot	77	77	0.3	0.031726114	0.268273886	
Black	Dot	78	78	0.45	0.27835363	0.17164637	
Black	Dot	79	79	0.55	0.058410533	0.491589467	
Black	Dot	80	80	0.6	0.06609895	0.53390105	
Black	Dot	81	81	0.45	0.2174907	0.2325093	
Black	Dot	82	82	0.55	0.09092448	0.45907552	
Black	Dot	83	83	0.45	0.106098756	0.343901244	
Black	Dot	84	84	0.4	0.30089235	0.09910765	
Black	Dot	85	85	0.7	0.39536795	0.30463205	
Black	Dot	86	86	0.25	0.22177394	0.02822606	
Black	Dot	87	87	0.5	0.12111199	0.37888801	
Black	Dot	88	88	0.55	0.07322969	0.47677031	
Black	Dot	89	89	0.4	0.20082603	0.19917397	
Black	Dot	90	90	0.4	0.13116857	0.26883143	
Black	Dot	91	91	0.25	0.068698965	0.181301035	
Black	Dot	92	92	0.8	0.92883533	-0.12883533	
Black	Dot	93	93	0.4	0.09186439	0.30813561	
Black	Dot	94	94	0.5	0.029495193	0.470504807	
Black	Dot	95	95	0.5	0.35060325	0.14939675	
Black	Dot	96	96	0.25	0.045921948	0.204078052	
Black	Dot	97	97	0.65	0.1849976	0.4650024	
Black	Dot	98	98	0.3	0.036371585	0.263628415	
Black	Dot	99	99	0.45	0.2898489	0.1601511	
Black	Dot	100	100	0.8	0.76644164	0.03355836	
Black	Dot	101	101	0.35	0.05177671	0.29822329	
Black	Dot	102	102	0.55	0.097122036	0.452877964	
Black	Dot	103	103	0.65	0.13101918	0.51898082	
Black	Dot	104	104	0.4	0.064057186	0.335942814	
Black	Dot	105	105	0.3	0.03242229	0.26757771	
Black	Dot	106	106	0.5	0.46544096	0.03455904	
Black	Dot	107	107	0.55	0.1783805	0.3716195	
Black	Dot	108	108	0.8	0.19437525	0.60562475	
Black	Dot	109	109	0.4	0.08097585	0.31902415	
Black	Dot	110	110	0.3	0.035056356	0.264943644	
Black	Dot	111	111	0.35	0.21662115	0.13337885	
Black	Dot	112	112	0.6	0.28106412	0.31893588	
Black	Dot	113	113	0.25	0.02570762	0.22429238	
Black	Dot	114	114	0.35	0.12164845	0.22835155	
Black	Dot	115	115	0.3	0.073921256	0.226078744	
Black	Dot	116	116	0.35	0.026036523	0.323963477	
Black	Dot	117	117	0.35	0.025003389	0.324996611	
Black	Dot	118	118	0.35	0.04675494	0.30324506	
Black	Dot	119	119	0.45	0.01945374	0.43054626	
Black	Dot	120	120	0.45	0.072078176	0.377921824	
Black	Dot	121	121	0.5	0.08730334	0.41269666	
Black	Dot	122	122	0.45	0.08456061	0.36543939	
Black	Dot	123	123	0.4	0.03898905	0.36101095	
Black	Dot	124	124	0.45	0.017128332	0.432871668	
Black	Dot	125	125	0.7	0.53104883	0.16895117	
Black	Dot	126	126	0.45	0.04675494	0.40324506	
Black	Dot	127	127	0.3	0.01351313	0.28648687	
Black	Dot	128	128	0.3	0.06552133	0.23447867	
Black	Dot	129	129	0.9	0.96747214	-0.06747214	
Black	Dot	130	130	0.6	0.23443633	0.36556367	
Black	Dot	131	131	0.4	0.12025344	0.27974656	
Black	Dot	132	132	0.25	0.44268137	-0.19268137	
Black	Dot	133	133	0.3	0.14713518	0.15286482	
Black	Dot	134	134	0.4	0.109884255	0.290115745	
Black	Dot	135	135	0.4	0.120506935	0.279493065	
Black	Dot	136	136	0.45	0.10276569	0.34723431	
Black	Dot	137	137	0.3	0.026036523	0.273963477	
Black	Dot	138	138	0.25	0.46589994	-0.21589994	
Black	Dot	139	139	0.3	0.11225677	0.18774323	
Black	Dot	140	140	0.4	0.20804635	0.19195365	
Black	Dot	141	141	0.7	0.6519473	0.0480527	
Black	Dot	142	142	0.3	0.11268389	0.18731611	
Black	Dot	143	143	0.65	0.3585354	0.2914646	
Black	Dot	144	144	0.3	0.24618602	0.05381398	
Black	Dot	145	145	0.3	0.02532672	0.27467328	
Black	Dot	146	146	0.35	0.5348452	-0.1848452	
Black	Dot	147	147	0.65	0.64797026	0.00202974	
Black	Dot	148	148	0.25	0.12025344	0.12974656	
Black	Dot	149	149	0.35	0.82268196	-0.47268196	
Black	Dot	150	150	0.55	0.05499717	0.49500283	
Black	Dot	151	151	0.3	0.15711358	0.14288642	
Black	Dot	152	152	0.55	0.17348367	0.37651633	
Black	Dot	153	153	0.35	0.026036523	0.323963477	
Black	Dot	154	154	0.5	0.61798567	-0.11798567	
Black	Dot	155	155	0.35	0.37907884	-0.02907884	
Black	Dot	156	156	0.55	0.05075421	0.49924579	
Black	Dot	157	157	0.4	0.20019971	0.19980029	
Black	Dot	158	158	0.55	0.9315942	-0.3815942	
Black	Dot	159	159	0.35	0.0947979	0.2552021	
Black	Dot	160	160	0.45	0.1899144	0.2600856	
Black	Dot	161	161	0.4	0.3576696	0.0423304	
Black	Dot	162	162	0.35	0.019463167	0.330536833	
Black	Dot	163	163	0.35	0.20629904	0.14370096	
Black	Dot	164	164	0.25	0.07285786	0.17714214	
Black	Dot	165	165	0.3	0.4423631	-0.1423631	
Black	Dot	166	166	0.55	0.1727696	0.3772304	
Black	Dot	167	167	0.6	0.19449234	0.40550766	
Black	Dot	168	168	0.3	0.20374775	0.09625225	
Black	Dot	169	169	0.25	0.07043313	0.17956687	
Black	Dot	170	170	0.35	0.19476773	0.15523227	
Black	Dot	171	171	0.4	0.14681739	0.25318261	
Black	Dot	172	172	0.35	0.06020599	0.28979401	
Black	Dot	173	173	0.35	0.46616665	-0.11616665	
Black	Dot	174	174	0.25	0.16447067	0.08552933	
Black	Dot	175	175	0.45	0.06915425	0.38084575	
Black	Dot	176	176	0.35	0.07388559	0.27611441	
Black	Dot	177	177	0.35	0.066098556	0.283901444	
Black	Dot	178	178	0.4	0.07172363	0.32827637	
Black	Dot	179	179	0.3	0.04102267	0.25897733	
Black	Dot	180	180	0.7	0.83785176	-0.13785176	
Black	Dot	181	181	0.625	0.28949773	0.33550227	
Black	Dot	182	182	0.25	0.026036523	0.223963477	
Black	Dot	183	183	0.375	0.4203471	-0.0453471	
Black	Dot	184	184	0.565	0.072984084	0.492015916	
Black	Dot	185	185	0.325	0.028028999	0.296971001	
Black	Dot	186	186	0.25	0.21585928	0.03414072	
Black	Dot	187	187	0.26	0.07356298	0.18643702	
Black	Dot	188	188	0.35	0.047142252	0.302857748	
Black	Dot	189	189	0.65	0.09528629	0.55471371	
Black	Dot	190	190	0.3	0.17427549	0.12572451	
Black	Dot	191	191	0.26	0.26820636	-0.00820636	
Black	Dot	192	192	0.4	0.06532119	0.33467881	
Black	Dot	193	193	0.3	0.08089301	0.21910699	
